Trace Path1,,,,Trace Path2,,,,Trace Path3,,
X(mm), Y(mm), Z(mm),,X(mm), Y(mm), Z(mm),,X(mm), Y(mm), Z(mm)
8.5,136.5219457,134.8675753,,17.7,71.88646273,136.2375544,,11,139.5109728,67.43378765
8.499999988,136.5812613,134.8716285,,17.70000244,71.94270651,136.1037716,,11.00000012,139.5412631,67.43656083
8.499999991,136.7640159,134.8795684,,17.70000235,72.12101049,135.8512174,,11.00000013,139.6326602,67.44055351
8.499999989,137.0627626,134.8919371,,17.7000021,72.41550426,135.519113,,11.00000013,139.7820319,67.44673501
8.499999991,137.4725931,134.9078298,,17.70000175,72.82247791,135.0615456,,11.00000013,139.9869456,67.45467812
8.499999997,137.9887596,134.926073,,17.70000134,73.33941487,134.5715165,,11.00000013,140.2450269,67.46379585
8.499999999,138.6065635,134.9453124,,17.70000094,73.96079204,134.1783232,,11.00000013,140.5539273,67.47341244
8.499999999,139.3213519,134.9640431,,17.70000056,74.68031968,133.8684568,,11.00000013,140.9113206,67.48277555
8.500000004,140.1285054,134.9806434,,17.70000022,75.49165873,133.6609008,,11.00000013,141.3148971,67.49107458
8.500000006,141.0234262,134.9934093,,17.69999995,76.38692168,133.6574006,,11.00000013,141.7623588,67.49745844
8.500000004,142.0015332,135.00058,,17.69999976,77.36166703,133.8388768,,11.00000013,142.2514151,67.50104712
8.500000006,143.0582539,135.0003659,,17.69999963,78.41387808,134.1249864,,11.00000013,142.7797794,67.50094503
8.500000009,144.1890132,134.9909778,,17.69999955,79.54037115,134.5285098,,11.00000014,143.345164,67.49625741
8.500000007,145.3892264,134.9706509,,17.6999995,80.73893975,135.0199935,,11.00000014,143.9452765,67.48610176
8.500000006,146.6542954,134.9376663,,17.69999944,82.00618567,135.4720898,,11.00000014,144.577817,67.46961742
8.500000009,147.9795981,134.890376,,17.69999933,83.33614583,135.8324668,,11.00000014,145.2404741,67.44597966
8.500000009,149.3604813,134.8272256,,17.69999916,84.72265296,136.0979549,,11.00000014,145.9309213,67.41441126
8.500000009,150.7922587,134.7467713,,17.6999989,86.15800236,136.1877444,,11.00000014,146.6468147,67.37418975
8.500000014,152.2702037,134.6476999,,17.69999853,87.63519635,136.0541492,,11.00000014,147.3857909,67.32465783
8.500000018,153.7895421,134.5288499,,17.69999804,89.1507774,135.7502647,,11.00000014,148.1454628,67.265235
8.50000002,155.3454494,134.3892265,,17.69999748,90.70150548,135.2956408,,11.00000015,148.9234182,67.19542408
8.500000026,156.9330477,134.228017,,17.69999683,92.28437881,134.6869853,,11.00000015,149.717218,67.11481846
8.500000033,158.5473981,134.0446099,,17.69999614,93.89709728,134.0091184,,11.00000015,150.524393,67.02311289
8.500000037,160.1834968,133.8386093,,17.69999546,95.53502477,133.350412,,11.00000015,151.3424421,66.92011057
8.500000041,161.836275,133.6098465,,17.6999948,97.19195252,132.7295672,,11.00000015,152.1688312,66.80572756
8.500000048,163.5005936,133.3583949,,17.6999942,98.86073455,132.1954975,,11.00000016,153.0009911,66.68000118
8.500000053,165.1712387,133.0845838,,17.69999368,100.53326,131.8217845,,11.00000016,153.8363159,66.54309724
8.500000055,166.8429227,132.7890065,,17.69999326,102.2035109,131.6022229,,11.00000016,154.6721619,66.3953128
8.500000059,168.5102823,132.4725304,,17.69999292,103.8672448,131.5034633,,11.00000016,155.5058475,66.23708121
8.500000063,170.1678734,132.1363089,,17.69999266,105.520429,131.5290686,,11.00000016,156.3346503,66.06897915
8.500000064,171.8101708,131.7817877,,17.69999246,107.1600273,131.6385,,11.00000017,157.1558077,65.89172904
8.500000066,173.4315693,131.4107087,,17.69999229,108.7821046,131.7415289,,11.00000017,157.966516,65.70620052
8.500000069,175.0263794,131.0251172,,17.69999211,110.3806012,131.7908779,,11.00000017,158.7639299,65.51341537
8.500000071,176.5888264,130.6273645,,17.6999919,111.9483334,131.7543777,,11.00000017,159.5451616,65.31454875
8.500000073,178.1130547,130.2201034,,17.69999163,113.4766923,131.563266,,11.00000017,160.3072826,65.11092616
8.500000078,179.5931274,129.8062854,,17.69999128,114.9574933,131.1836882,,11.00000017,161.047324,64.90402254
8.500000083,181.023027,129.3891545,,17.69999086,116.3848109,130.6392099,,11.00000018,161.762277,64.69546002
8.500000088,182.3966621,128.972232,,17.69999036,117.7536188,129.9406271,,11.00000018,162.4490959,64.48699915
8.500000094,183.7078728,128.5592975,,17.69998981,119.0598824,129.1052765,,11.00000018,163.1047005,64.28052968
8.500000101,184.9504342,128.1543694,,17.69998923,120.3001515,128.206892,,11.00000018,163.725979,64.07806142
8.500000107,186.1180658,127.7616737,,17.69998866,121.469266,127.3198201,,11.00000019,164.3097917,63.88170853
8.500000114,187.2044441,127.3856053,,17.69998814,122.5603662,126.4876787,,11.00000019,164.8529776,63.69366916
8.50000012,188.2032123,127.0306863,,17.69998768,123.5651116,125.7738776,,11.00000019,165.3523591,63.51620537
8.500000125,189.1079943,126.7015155,,17.69998732,124.4740981,125.2445878,,11.00000019,165.804749,63.35161784
8.500000129,189.9124135,126.4027057,,17.69998707,125.2792353,124.9145728,,11.00000019,166.2069596,63.20221366
8.500000132,190.6101107,126.1388185,,17.69998693,125.9740952,124.7798005,,11.00000019,166.5558113,63.07027352
8.500000134,191.1947613,125.9142935,,17.69998689,126.5533391,124.8431756,,11.0000002,166.8481418,62.95801717
8.500000135,191.6600983,125.7333675,,17.69998695,127.0132037,125.070005,,11.0000002,167.0808169,62.86756243
8.500000135,191.9999353,125.5999898,,17.69998708,127.3499589,125.3941469,,11.0000002,167.2507426,62.80088264
8.500000136,192.2081864,125.5177387,,17.69998725,127.5583609,125.7676864,,11.0000002,167.354875,62.75976576
8.500000135,192.27889,125.4897325,,17.69998744,127.6318902,126.1443514,,11.0000002,167.3902324,62.74577003
